city,series_ticker,market_ticker,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,obs_context,rules_primary,strike_type,floor_strike,cap_strike
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T90,"Will the **high temp in LA** be >90° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.07,0.7625,0.2375,0.6925,-0.6925,YES,0.6925,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:30:00+00:00; obs_temp_f=61.5,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 90°, then the market resolves to Yes.",greater,90,
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B45.5,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.525,0.1753,0.8247,-0.3497,0.3497,NO,0.3497,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B83.5,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.34,0.0015,0.9985,-0.3385,0.3385,NO,0.3385,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:30:00+00:00; obs_temp_f=61.5,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B85.5,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.16,0.0099,0.9901,-0.1501,0.1501,NO,0.1501,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:30:00+00:00; obs_temp_f=61.5,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 85-86°, then the market resolves to Yes.",between,85,86
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B43.5,"Will the **high temp in NYC** be 43-44° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.275,0.1431,0.8569,-0.1319,0.1319,NO,0.1319,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 43-44°, then the market resolves to Yes.",between,43,44
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B89.5,"Will the **high temp in LA** be 89-90° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.02,0.0955,0.9045,0.0755,-0.0755,YES,0.0755,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:30:00+00:00; obs_temp_f=61.5,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 89-90°, then the market resolves to Yes.",between,89,90
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B47.5,"Will the **high temp in NYC** be 47-48° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.165,0.0953,0.9047,-0.0697,0.0697,NO,0.0697,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 47-48°, then the market resolves to Yes.",between,47,48
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B87.5,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.03,0.0395,0.9605,0.0095,-0.0095,YES,0.0095,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:30:00+00:00; obs_temp_f=61.5,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
NYC,KXHIGHNY,KXHIGHNY-26MAR19-T50,"Will the **high temp in NYC** be >50° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.015,0.0115,0.9885,-0.0035,0.0035,NO,0.0035,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 50°, then the market resolves to Yes.",greater,50,
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B49.5,"Will the **high temp in NYC** be 49-50° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.025,0.023,0.977,-0.002,0.002,NO,0.002,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 49-50°, then the market resolves to Yes.",between,49,50
