city,series_ticker,event_ticker,market_ticker,forecast_date,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,effective_edge,yes_bid,yes_ask,spread,run_ts_utc,obs_temp_f,actual_high_temp_f,actual_outcome_yes,obs_context,rules_primary,strike_type,floor_strike,cap_strike
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-T83,2026-03-19,"Will the **high temp in LA** be <83° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.385,0.5,0.5,0.115,-0.115,YES,0.115,0.11,0.38,0.39,0.01,2026-03-19T14:32:30.517869+00:00,64.4,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:15:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 83°, then the market resolves to Yes.",less,,83
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-T43,2026-03-19,"Will the **high temp in NYC** be <43° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.0,0.055,0.1587,0.8413,0.1037,-0.1037,YES,0.1037,0.0987,0.05,0.06,0.01,2026-03-19T14:32:30.039640+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 43°, then the market resolves to Yes.",less,,43
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-B45.5,2026-03-19,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.0,0.45,0.3721,0.6279,-0.0779,0.0779,NO,0.0779,0.0679,0.44,0.46,0.02,2026-03-19T14:32:30.039703+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-B83.5,2026-03-19,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.315,0.2425,0.7575,-0.0725,0.0725,NO,0.0725,0.0675,0.31,0.32,0.01,2026-03-19T14:32:30.517940+00:00,64.4,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:15:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-B87.5,2026-03-19,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.035,0.0942,0.9058,0.0592,-0.0592,YES,0.0592,0.0542,0.03,0.04,0.01,2026-03-19T14:32:30.517908+00:00,64.4,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:15:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
