city,series_ticker,event_ticker,market_ticker,forecast_date,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,effective_edge,yes_bid,yes_ask,spread,run_ts_utc,obs_temp_f,actual_high_temp_f,actual_outcome_yes,obs_context,rules_primary,strike_type,floor_strike,cap_strike
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-B45.5,2026-03-19,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.495,0.3422,0.6578,-0.1528,0.1528,NO,0.1528,0.1378,0.48,0.51,0.03,2026-03-19T14:17:56.510543+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-T43,2026-03-19,"Will the **high temp in NYC** be <43° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.075,0.1817,0.8183,0.1067,-0.1067,YES,0.1067,0.1017,0.07,0.08,0.01,2026-03-19T14:17:56.510143+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 43°, then the market resolves to Yes.",less,,43
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-B83.5,2026-03-19,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.315,0.2425,0.7575,-0.0725,0.0725,NO,0.0725,0.0575,0.3,0.33,0.03,2026-03-19T14:17:56.975114+00:00,62.6,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:00:00+00:00; obs_temp_f=62.6,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-B87.5,2026-03-19,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.035,0.0942,0.9058,0.0592,-0.0592,YES,0.0592,0.0542,0.03,0.04,0.01,2026-03-19T14:17:56.974843+00:00,62.6,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:00:00+00:00; obs_temp_f=62.6,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
