city,series_ticker,market_ticker,forecast_date,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,yes_bid,yes_ask,spread,run_ts_utc,obs_context,rules_primary,strike_type,floor_strike,cap_strike
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B45.5,2026-03-19,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.515,0.3422,0.6578,-0.1728,0.1728,NO,0.1728,0.51,0.52,0.01,2026-03-19T14:08:11.063369+00:00,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
NYC,KXHIGHNY,KXHIGHNY-26MAR19-T43,2026-03-19,"Will the **high temp in NYC** be <43° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.07,0.1817,0.8183,0.1117,-0.1117,YES,0.1117,0.06,0.08,0.02,2026-03-19T14:08:11.062933+00:00,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 43°, then the market resolves to Yes.",less,,43
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B47.5,2026-03-19,"Will the **high temp in NYC** be 47-48° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.135,0.1919,0.8081,0.0569,-0.0569,YES,0.0569,0.13,0.14,0.01,2026-03-19T14:08:11.063233+00:00,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 47-48°, then the market resolves to Yes.",between,47,48
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T90,2026-03-19,"Will the **high temp in LA** be >90° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.055,0.0062,0.9938,-0.0488,0.0488,NO,0.0488,0.05,0.06,0.01,2026-03-19T14:08:11.499441+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 90°, then the market resolves to Yes.",greater,90,
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B87.5,2026-03-19,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.035,0.0809,0.9191,0.0459,-0.0459,YES,0.0459,0.03,0.04,0.01,2026-03-19T14:08:11.499824+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T83,2026-03-19,"Will the **high temp in LA** be <83° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.465,0.5,0.5,0.035,-0.035,YES,0.035,0.46,0.47,0.01,2026-03-19T14:08:11.499587+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 83°, then the market resolves to Yes.",less,,83
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B85.5,2026-03-19,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.17,0.1904,0.8096,0.0204,-0.0204,YES,0.0204,0.16,0.18,0.02,2026-03-19T14:08:11.499947+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 85-86°, then the market resolves to Yes.",between,85,86
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B49.5,2026-03-19,"Will the **high temp in NYC** be 49-50° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.035,0.0496,0.9504,0.0146,-0.0146,YES,0.0146,0.03,0.04,0.01,2026-03-19T14:08:11.063093+00:00,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 49-50°, then the market resolves to Yes.",between,49,50
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B43.5,2026-03-19,"Will the **high temp in NYC** be 43-44° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.295,0.2822,0.7178,-0.0128,0.0128,NO,0.0128,0.28,0.31,0.03,2026-03-19T14:08:11.063513+00:00,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 43-44°, then the market resolves to Yes.",between,43,44
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B89.5,2026-03-19,"Will the **high temp in LA** be 89-90° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.03,0.0211,0.9789,-0.0089,0.0089,NO,0.0089,0.02,0.04,0.02,2026-03-19T14:08:11.499714+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 89-90°, then the market resolves to Yes.",between,89,90
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B83.5,2026-03-19,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.28,0.2748,0.7252,-0.0052,0.0052,NO,0.0052,0.26,0.3,0.04,2026-03-19T14:08:11.500062+00:00,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:50:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
