city,series_ticker,event_ticker,market_ticker,forecast_date,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,effective_edge,yes_bid,yes_ask,spread,run_ts_utc,obs_temp_f,actual_high_temp_f,actual_outcome_yes,obs_context,rules_primary,strike_type,floor_strike,cap_strike
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-T43,2026-03-19,"Will the **high temp in NYC** be <43° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.0,0.055,0.1587,0.8413,0.1037,-0.1037,YES,0.1037,0.0987,0.05,0.06,0.01,2026-03-19T14:39:05.486603+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 43°, then the market resolves to Yes.",less,,43
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-T83,2026-03-19,"Will the **high temp in LA** be <83° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.425,0.5,0.5,0.075,-0.075,YES,0.075,0.07,0.42,0.43,0.01,2026-03-19T14:39:05.936196+00:00,64.4,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:25:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 83°, then the market resolves to Yes.",less,,83
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19,KXHIGHLAX-26MAR19-B85.5,2026-03-19,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,3.2,0.115,0.1826,0.8174,0.0676,-0.0676,YES,0.0676,0.0626,0.11,0.12,0.01,2026-03-19T14:39:05.936248+00:00,64.4,,,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T14:25:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 85-86°, then the market resolves to Yes.",between,85,86
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-B45.5,2026-03-19,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.0,0.44,0.3721,0.6279,-0.0679,0.0679,NO,0.0679,0.0579,0.43,0.45,0.02,2026-03-19T14:39:05.486661+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
NYC,KXHIGHNY,KXHIGHNY-26MAR19,KXHIGHNY-26MAR19-B43.5,2026-03-19,"Will the **high temp in NYC** be 43-44° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.0,0.37,0.2956,0.7044,-0.0744,0.0744,NO,0.0744,0.0544,0.35,0.39,0.04,2026-03-19T14:39:05.486683+00:00,35.96,,,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T13:51:00+00:00; obs_temp_f=36.0,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 43-44°, then the market resolves to Yes.",between,43,44
