city,series_ticker,market_ticker,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,obs_context,rules_primary,strike_type,floor_strike,cap_strike
NYC,KXHIGHNY,KXHIGHNY-26MAR20-T60,"Will the **high temp in NYC** be >60° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.52,0.0,1.0,-0.52,0.52,NO,0.52,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 60°, then the market resolves to Yes.",greater,60,
NYC,KXHIGHNY,KXHIGHNY-26MAR20-T53,"Will the **high temp in NYC** be <53° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.5,0.9999,0.0001,0.4999,-0.4999,YES,0.4999,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 53°, then the market resolves to Yes.",less,,53
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-T77,"Will the **high temp in LA** be <77° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.5,0.0161,0.9839,-0.4839,0.4839,NO,0.4839,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 77°, then the market resolves to Yes.",less,,77
NYC,KXHIGHNY,KXHIGHNY-26MAR20-B57.5,"Will the **high temp in NYC** be 57-58° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.305,0.0,1.0,-0.305,0.305,NO,0.305,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 57-58°, then the market resolves to Yes.",between,57,58
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-B79.5,"Will the **high temp in LA** be 79-80° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.35,0.132,0.868,-0.218,0.218,NO,0.218,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 79-80°, then the market resolves to Yes.",between,79,80
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B45.5,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.495,0.3422,0.6578,-0.1528,0.1528,NO,0.1528,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-T84,"Will the **high temp in LA** be >84° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.5,0.3605,0.6395,-0.1395,0.1395,NO,0.1395,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 84°, then the market resolves to Yes.",greater,84,
NYC,KXHIGHNY,KXHIGHNY-26MAR19-T43,"Will the **high temp in NYC** be <43° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.065,0.1817,0.8183,0.1167,-0.1167,YES,0.1167,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 43°, then the market resolves to Yes.",less,,43
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-B81.5,"Will the **high temp in LA** be 81-82° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.35,0.2432,0.7568,-0.1068,0.1068,NO,0.1068,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 81-82°, then the market resolves to Yes.",between,81,82
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T90,"Will the **high temp in LA** be >90° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.06,0.0062,0.9938,-0.0538,0.0538,NO,0.0538,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 90°, then the market resolves to Yes.",greater,90,
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B47.5,"Will the **high temp in NYC** be 47-48° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.145,0.1919,0.8081,0.0469,-0.0469,YES,0.0469,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 47-48°, then the market resolves to Yes.",between,47,48
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B87.5,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.035,0.0809,0.9191,0.0459,-0.0459,YES,0.0459,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B85.5,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.145,0.1904,0.8096,0.0454,-0.0454,YES,0.0454,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 85-86°, then the market resolves to Yes.",between,85,86
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T83,"Will the **high temp in LA** be <83° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.455,0.5,0.5,0.045,-0.045,YES,0.045,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is less than 83°, then the market resolves to Yes.",less,,83
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B83.5,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,83.0,2.8,0.315,0.2748,0.7252,-0.0402,0.0402,NO,0.0402,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
NYC,KXHIGHNY,KXHIGHNY-26MAR20-B59.5,"Will the **high temp in NYC** be 59-60° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.035,0.0,1.0,-0.035,0.035,NO,0.035,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 59-60°, then the market resolves to Yes.",between,59,60
NYC,KXHIGHNY,KXHIGHNY-26MAR20-B55.5,"Will the **high temp in NYC** be 55-56° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.035,0.0,1.0,-0.035,0.035,NO,0.035,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 55-56°, then the market resolves to Yes.",between,55,56
NYC,KXHIGHNY,KXHIGHNY-26MAR20-B53.5,"Will the **high temp in NYC** be 53-54° on Mar 20, 2026?",2026-03-21T04:59:00Z,45.0,2.2,0.035,0.0003,0.9997,-0.0347,0.0347,NO,0.0347,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 53-54°, then the market resolves to Yes.",between,53,54
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-B83.5,"Will the **high temp in LA** be 83-84° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.305,0.2748,0.7252,-0.0302,0.0302,NO,0.0302,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B43.5,"Will the **high temp in NYC** be 43-44° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.305,0.2822,0.7178,-0.0228,0.0228,NO,0.0228,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 43-44°, then the market resolves to Yes.",between,43,44
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR20-B77.5,"Will the **high temp in LA** be 77-78° on Mar 20, 2026?",2026-03-21T07:59:00Z,83.0,2.8,0.045,0.0439,0.9561,-0.0011,0.0011,NO,0.0011,station=https://api.weather.gov/stations/KLAX; obs_time=2026-03-19T13:40:00+00:00; obs_temp_f=64.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 20, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 77-78°, then the market resolves to Yes.",between,77,78
