city,series_ticker,market_ticker,title,close_time,forecast_daily_max_f,sigma_f,market_yes_mid,fair_yes,fair_no,edge_yes,edge_no,best_side,best_edge,obs_context,rules_primary,strike_type,floor_strike,cap_strike
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-T90,"Will the **high temp in LA** be >90° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.07,0.7625,0.2375,0.6925,-0.6925,YES,0.6925,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:35:00+00:00; obs_temp_f=61.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is greater than 90°, then the market resolves to Yes.",greater,90,
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B83.5,"Will the **high temp in LA** be 83-84° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.32,0.0034,0.9966,-0.3166,0.3166,NO,0.3166,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:35:00+00:00; obs_temp_f=61.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 83-84°, then the market resolves to Yes.",between,83,84
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B45.5,"Will the **high temp in NYC** be 45-46° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.49,0.3422,0.6578,-0.1478,0.1478,NO,0.1478,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 45-46°, then the market resolves to Yes.",between,45,46
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B85.5,"Will the **high temp in LA** be 85-86° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.155,0.0211,0.9789,-0.1339,0.1339,NO,0.1339,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:35:00+00:00; obs_temp_f=61.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 85-86°, then the market resolves to Yes.",between,85,86
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B47.5,"Will the **high temp in NYC** be 47-48° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.145,0.1919,0.8081,0.0469,-0.0469,YES,0.0469,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 47-48°, then the market resolves to Yes.",between,47,48
Los Angeles,KXHIGHLAX,KXHIGHLAX-26MAR19-B87.5,"Will the **high temp in LA** be 87-88° on Mar 19, 2026?",2026-03-20T07:59:00Z,92.0,2.8,0.045,0.0809,0.9191,0.0359,-0.0359,YES,0.0359,station=https://api.weather.gov/stations/FHMC1; obs_time=2026-03-19T13:35:00+00:00; obs_temp_f=61.4,"If the highest temperature recorded in Los Angeles Airport, CA for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 87-88°, then the market resolves to Yes.",between,87,88
NYC,KXHIGHNY,KXHIGHNY-26MAR19-B43.5,"Will the **high temp in NYC** be 43-44° on Mar 19, 2026?",2026-03-20T04:59:00Z,45.0,2.2,0.3,0.2822,0.7178,-0.0178,0.0178,NO,0.0178,station=https://api.weather.gov/stations/KNYC; obs_time=2026-03-19T12:51:00+00:00; obs_temp_f=35.1,"If the highest temperature recorded in Central Park, New York for March 19, 2026 as reported by the National Weather Service's Climatological Report (Daily), is between 43-44°, then the market resolves to Yes.",between,43,44
